query_id,type,lecture,feature,text,corpus_ids,answerable,notes
MATH_1_01,1,ch1,0,TODO,MATH3424_ch1_41,yes,normal query
MATH_1_02,1,ch1,0,TODO,MATH3424_ch1_8,yes,normal query
MATH_1_03,1,ch1,0,TODO,MATH3424_ch1_2,yes,normal query
MATH_1_04,1,ch1,0,TODO,MATH3424_ch1_48,yes,normal query
MATH_1_05,1,ch1,0,TODO,MATH3424_ch1_18,yes,normal query
MATH_1_06,1,ch2,0,TODO,MATH3424_ch2_4,yes,normal query
MATH_1_07,1,ch2,0,TODO,MATH3424_ch2_4,yes,normal query
MATH_1_08,1,ch2,0,TODO,MATH3424_ch2_3,yes,normal query
MATH_1_09,1,ch2,0,TODO,MATH3424_ch2_12,yes,normal query
MATH_1_10,1,ch2,0,TODO,MATH3424_ch2_2,yes,normal query
MATH_1_11,1,ch3,0,TODO,MATH3424_ch3_70,yes,normal query
MATH_1_12,1,ch3,0,TODO,MATH3424_ch3_12,yes,normal query
MATH_1_13,1,ch3,0,TODO,MATH3424_ch3_76,yes,normal query
MATH_1_14,1,ch3,0,TODO,MATH3424_ch3_55,yes,normal query
MATH_1_15,1,ch3,0,TODO,MATH3424_ch3_5,yes,normal query
MATH_1_16,1,ch4,0,TODO,MATH3424_ch4_1,yes,normal query
MATH_1_17,1,ch4,0,TODO,MATH3424_ch4_1,yes,normal query
MATH_1_18,1,ch4,0,TODO,MATH3424_ch4_2,yes,normal query
MATH_1_19,1,ch4,0,TODO,MATH3424_ch4_2,yes,normal query
MATH_1_20,1,ch4,0,TODO,MATH3424_ch4_5,yes,normal query
MATH_1_21,1,ch5,0,TODO,MATH3424_ch5_78,yes,normal query
MATH_1_22,1,ch5,0,TODO,MATH3424_ch5_4,yes,normal query
MATH_1_23,1,ch5,0,TODO,MATH3424_ch5_72,yes,normal query
MATH_1_24,1,ch5,0,TODO,MATH3424_ch5_26,yes,normal query
MATH_1_25,1,ch5,0,TODO,MATH3424_ch5_92,yes,normal query
MATH_1_26,1,ch6,0,TODO,MATH3424_ch6_70,yes,normal query
MATH_1_27,1,ch6,0,TODO,MATH3424_ch6_54,yes,normal query
MATH_1_28,1,ch6,0,TODO,MATH3424_ch6_29,yes,normal query
MATH_1_29,1,ch6,0,TODO,MATH3424_ch6_58,yes,normal query
MATH_1_30,1,ch6,0,TODO,MATH3424_ch6_36,yes,normal query
MATH_1_31,1,ch7,0,TODO,MATH3424_ch7_1,yes,normal query
MATH_1_32,1,ch7,0,TODO,MATH3424_ch7_21,yes,normal query
MATH_1_33,1,ch7,0,TODO,MATH3424_ch7_55,yes,normal query
MATH_1_34,1,ch7,0,TODO,MATH3424_ch7_44,yes,normal query
MATH_1_35,1,ch7,0,TODO,MATH3424_ch7_36,yes,normal query
MATH_1_36,1,ch8,0,TODO,MATH3424_ch8_10,yes,normal query
MATH_1_37,1,ch8,0,TODO,MATH3424_ch8_14,yes,normal query
MATH_1_38,1,ch8,0,TODO,MATH3424_ch8_62,yes,normal query
MATH_1_39,1,ch8,0,TODO,MATH3424_ch8_49,yes,normal query
MATH_1_40,1,ch8,0,TODO,MATH3424_ch8_22,yes,normal query
MATH_1_41,1,ch9,0,TODO,MATH3424_ch9_14,yes,normal query
MATH_1_42,1,ch9,0,TODO,MATH3424_ch9_12,yes,normal query
MATH_1_43,1,ch9,0,TODO,MATH3424_ch9_49,yes,normal query
MATH_1_44,1,ch9,0,TODO,MATH3424_ch9_13,yes,normal query
MATH_1_45,1,ch9,0,TODO,MATH3424_ch9_46,yes,normal query
MATH_1_46,1,ch10,0,TODO,MATH3424_ch10_23,yes,normal query
MATH_1_47,1,ch10,0,TODO,MATH3424_ch10_39,yes,normal query
MATH_1_48,1,ch10,0,TODO,MATH3424_ch10_17,yes,normal query
MATH_1_49,1,ch10,0,TODO,MATH3424_ch10_52,yes,normal query
MATH_1_50,1,ch10,0,TODO,MATH3424_ch10_3,yes,normal query
MATH_1_51,1,ch11,0,TODO,MATH3424_ch11_59,yes,normal query
MATH_1_52,1,ch11,0,TODO,MATH3424_ch11_16,yes,normal query
MATH_1_53,1,ch11,0,TODO,MATH3424_ch11_49,yes,normal query
MATH_1_54,1,ch11,0,TODO,MATH3424_ch11_11,yes,normal query
MATH_1_55,1,ch11,0,TODO,MATH3424_ch11_38,yes,normal query
MATH_1_56,1,special,1,TODO,,no,special query
MATH_1_57,1,special,2,TODO,MATH3424_ch11_62,yes,special query
MATH_1_58,1,special,3,TODO,,no,special query
MATH_1_59,1,special,4,TODO,MATH3424_ch11_52,yes,special query
MATH_1_60,1,special,5,TODO,,no,special query
MATH_1_61,1,special,6,TODO,MATH3424_ch3_21,yes,special query
MATH_1_62,1,special,7,TODO,,no,special query
MATH_2_01,2,ch1,0,TODO,MATH3424_ch1_37,yes,normal query
MATH_2_02,2,ch1,0,TODO,MATH3424_ch1_13,yes,normal query
MATH_2_03,2,ch1,0,TODO,MATH3424_ch1_46,yes,normal query
MATH_2_04,2,ch1,0,TODO,MATH3424_ch1_5,yes,normal query
MATH_2_05,2,ch1,0,TODO,MATH3424_ch1_3,yes,normal query
MATH_2_06,2,ch2,0,TODO,MATH3424_ch2_11,yes,normal query
MATH_2_07,2,ch2,0,TODO,MATH3424_ch2_4,yes,normal query
MATH_2_08,2,ch2,0,TODO,MATH3424_ch2_13,yes,normal query
MATH_2_09,2,ch2,0,TODO,MATH3424_ch2_5,yes,normal query
MATH_2_10,2,ch2,0,TODO,MATH3424_ch2_2,yes,normal query
MATH_2_11,2,ch3,0,TODO,MATH3424_ch3_30,yes,normal query
MATH_2_12,2,ch3,0,TODO,MATH3424_ch3_13,yes,normal query
MATH_2_13,2,ch3,0,TODO,MATH3424_ch3_49,yes,normal query
MATH_2_14,2,ch3,0,TODO,MATH3424_ch3_36,yes,normal query
MATH_2_15,2,ch3,0,TODO,MATH3424_ch3_59,yes,normal query
MATH_2_16,2,ch4,0,TODO,MATH3424_ch4_3,yes,normal query
MATH_2_17,2,ch4,0,TODO,MATH3424_ch4_2,yes,normal query
MATH_2_18,2,ch4,0,TODO,MATH3424_ch4_3,yes,normal query
MATH_2_19,2,ch4,0,TODO,MATH3424_ch4_3,yes,normal query
MATH_2_20,2,ch4,0,TODO,MATH3424_ch4_2,yes,normal query
MATH_2_21,2,ch5,0,TODO,MATH3424_ch5_86,yes,normal query
MATH_2_22,2,ch5,0,TODO,MATH3424_ch5_35,yes,normal query
MATH_2_23,2,ch5,0,TODO,MATH3424_ch5_90,yes,normal query
MATH_2_24,2,ch5,0,TODO,MATH3424_ch5_88,yes,normal query
MATH_2_25,2,ch5,0,TODO,MATH3424_ch5_83,yes,normal query
MATH_2_26,2,ch6,0,TODO,MATH3424_ch6_10,yes,normal query
MATH_2_27,2,ch6,0,TODO,MATH3424_ch6_22,yes,normal query
MATH_2_28,2,ch6,0,TODO,MATH3424_ch6_69,yes,normal query
MATH_2_29,2,ch6,0,TODO,MATH3424_ch6_32,yes,normal query
MATH_2_30,2,ch6,0,TODO,MATH3424_ch6_21,yes,normal query
MATH_2_31,2,ch7,0,TODO,MATH3424_ch7_60,yes,normal query
MATH_2_32,2,ch7,0,TODO,MATH3424_ch7_49,yes,normal query
MATH_2_33,2,ch7,0,TODO,MATH3424_ch7_35,yes,normal query
MATH_2_34,2,ch7,0,TODO,MATH3424_ch7_72,yes,normal query
MATH_2_35,2,ch7,0,TODO,MATH3424_ch7_29,yes,normal query
MATH_2_36,2,ch8,0,TODO,MATH3424_ch8_44,yes,normal query
MATH_2_37,2,ch8,0,TODO,MATH3424_ch8_21,yes,normal query
MATH_2_38,2,ch8,0,TODO,MATH3424_ch8_54,yes,normal query
MATH_2_39,2,ch8,0,TODO,MATH3424_ch8_50,yes,normal query
MATH_2_40,2,ch8,0,TODO,MATH3424_ch8_50,yes,normal query
MATH_2_41,2,ch9,0,TODO,MATH3424_ch9_8,yes,normal query
MATH_2_42,2,ch9,0,TODO,MATH3424_ch9_30,yes,normal query
MATH_2_43,2,ch9,0,TODO,MATH3424_ch9_5,yes,normal query
MATH_2_44,2,ch9,0,TODO,MATH3424_ch9_41,yes,normal query
MATH_2_45,2,ch9,0,TODO,MATH3424_ch9_52,yes,normal query
MATH_2_46,2,ch10,0,TODO,MATH3424_ch10_18,yes,normal query
MATH_2_47,2,ch10,0,TODO,MATH3424_ch10_5,yes,normal query
MATH_2_48,2,ch10,0,TODO,MATH3424_ch10_14,yes,normal query
MATH_2_49,2,ch10,0,TODO,MATH3424_ch10_37,yes,normal query
MATH_2_50,2,ch10,0,TODO,MATH3424_ch10_46,yes,normal query
MATH_2_51,2,ch11,0,TODO,MATH3424_ch11_41,yes,normal query
MATH_2_52,2,ch11,0,TODO,MATH3424_ch11_28,yes,normal query
MATH_2_53,2,ch11,0,TODO,MATH3424_ch11_64,yes,normal query
MATH_2_54,2,ch11,0,TODO,MATH3424_ch11_51,yes,normal query
MATH_2_55,2,ch11,0,TODO,MATH3424_ch11_59,yes,normal query
MATH_2_56,2,special,1,TODO,,no,special query
MATH_2_57,2,special,2,TODO,MATH3424_ch7_6,yes,special query
MATH_2_58,2,special,3,TODO,,no,special query
MATH_2_59,2,special,4,TODO,MATH3424_ch1_55,yes,special query
MATH_2_60,2,special,5,TODO,,no,special query
MATH_2_61,2,special,6,TODO,MATH3424_ch7_2,yes,special query
MATH_2_62,2,special,7,TODO,,no,special query
MATH_3_01,3,ch1,0,TODO,MATH3424_ch1_16,yes,normal query
MATH_3_02,3,ch1,0,TODO,MATH3424_ch1_48,yes,normal query
MATH_3_03,3,ch1,0,TODO,MATH3424_ch1_36,yes,normal query
MATH_3_04,3,ch1,0,TODO,MATH3424_ch1_35,yes,normal query
MATH_3_05,3,ch1,0,TODO,MATH3424_ch1_17,yes,normal query
MATH_3_06,3,ch2,0,TODO,MATH3424_ch2_12,yes,normal query
MATH_3_07,3,ch2,0,TODO,MATH3424_ch2_10,yes,normal query
MATH_3_08,3,ch2,0,TODO,MATH3424_ch2_7,yes,normal query
MATH_3_09,3,ch2,0,TODO,MATH3424_ch2_10,yes,normal query
MATH_3_10,3,ch2,0,TODO,MATH3424_ch2_7,yes,normal query
MATH_3_11,3,ch3,0,TODO,MATH3424_ch3_47,yes,normal query
MATH_3_12,3,ch3,0,TODO,MATH3424_ch3_29,yes,normal query
MATH_3_13,3,ch3,0,TODO,MATH3424_ch3_18,yes,normal query
MATH_3_14,3,ch3,0,TODO,MATH3424_ch3_66,yes,normal query
MATH_3_15,3,ch3,0,TODO,MATH3424_ch3_64,yes,normal query
MATH_3_16,3,ch4,0,TODO,MATH3424_ch4_1,yes,normal query
MATH_3_17,3,ch4,0,TODO,MATH3424_ch4_1,yes,normal query
MATH_3_18,3,ch4,0,TODO,MATH3424_ch4_1,yes,normal query
MATH_3_19,3,ch4,0,TODO,MATH3424_ch4_2,yes,normal query
MATH_3_20,3,ch4,0,TODO,MATH3424_ch4_2,yes,normal query
MATH_3_21,3,ch5,0,TODO,MATH3424_ch5_88,yes,normal query
MATH_3_22,3,ch5,0,TODO,MATH3424_ch5_55,yes,normal query
MATH_3_23,3,ch5,0,TODO,MATH3424_ch5_77,yes,normal query
MATH_3_24,3,ch5,0,TODO,MATH3424_ch5_9,yes,normal query
MATH_3_25,3,ch5,0,TODO,MATH3424_ch5_50,yes,normal query
MATH_3_26,3,ch6,0,TODO,MATH3424_ch6_49,yes,normal query
MATH_3_27,3,ch6,0,TODO,MATH3424_ch6_60,yes,normal query
MATH_3_28,3,ch6,0,TODO,MATH3424_ch6_68,yes,normal query
MATH_3_29,3,ch6,0,TODO,MATH3424_ch6_33,yes,normal query
MATH_3_30,3,ch6,0,TODO,MATH3424_ch6_71,yes,normal query
MATH_3_31,3,ch7,0,TODO,MATH3424_ch7_2,yes,normal query
MATH_3_32,3,ch7,0,TODO,MATH3424_ch7_15,yes,normal query
MATH_3_33,3,ch7,0,TODO,MATH3424_ch7_69,yes,normal query
MATH_3_34,3,ch7,0,TODO,MATH3424_ch7_35,yes,normal query
MATH_3_35,3,ch7,0,TODO,MATH3424_ch7_44,yes,normal query
MATH_3_36,3,ch8,0,TODO,MATH3424_ch8_8,yes,normal query
MATH_3_37,3,ch8,0,TODO,MATH3424_ch8_19,yes,normal query
MATH_3_38,3,ch8,0,TODO,MATH3424_ch8_28,yes,normal query
MATH_3_39,3,ch8,0,TODO,MATH3424_ch8_11,yes,normal query
MATH_3_40,3,ch8,0,TODO,MATH3424_ch8_30,yes,normal query
MATH_3_41,3,ch9,0,TODO,MATH3424_ch9_1,yes,normal query
MATH_3_42,3,ch9,0,TODO,MATH3424_ch9_34,yes,normal query
MATH_3_43,3,ch9,0,TODO,MATH3424_ch9_65,yes,normal query
MATH_3_44,3,ch9,0,TODO,MATH3424_ch9_23,yes,normal query
MATH_3_45,3,ch9,0,TODO,MATH3424_ch9_65,yes,normal query
MATH_3_46,3,ch10,0,TODO,MATH3424_ch10_7,yes,normal query
MATH_3_47,3,ch10,0,TODO,MATH3424_ch10_41,yes,normal query
MATH_3_48,3,ch10,0,TODO,MATH3424_ch10_20,yes,normal query
MATH_3_49,3,ch10,0,TODO,MATH3424_ch10_54,yes,normal query
MATH_3_50,3,ch10,0,TODO,MATH3424_ch10_41,yes,normal query
MATH_3_51,3,ch11,0,TODO,MATH3424_ch11_65,yes,normal query
MATH_3_52,3,ch11,0,TODO,MATH3424_ch11_26,yes,normal query
MATH_3_53,3,ch11,0,TODO,MATH3424_ch11_20,yes,normal query
MATH_3_54,3,ch11,0,TODO,MATH3424_ch11_48,yes,normal query
MATH_3_55,3,ch11,0,TODO,MATH3424_ch11_21,yes,normal query
MATH_3_56,3,special,1,TODO,,no,special query
MATH_3_57,3,special,2,TODO,MATH3424_ch10_25,yes,special query
MATH_3_58,3,special,3,TODO,,no,special query
MATH_3_59,3,special,4,TODO,MATH3424_ch10_16,yes,special query
MATH_3_60,3,special,5,TODO,,no,special query
MATH_3_61,3,special,6,TODO,MATH3424_ch8_1,yes,special query
